Files already downloaded and verified
Files already downloaded and verified
Saving  mask (task#:0)
Task: 0 Train Epoch: 51 [2560/5000 (50%)]	Loss: 0.448478
Task: 0 Train Epoch: 51 [3840/5000 (75%)]	Loss: 0.333518
Task: 0   Test set: Avg. loss: 0.0009, Accuracy: 760/1000(76%)

Task: 0 Train Epoch: 52 [0/5000 (0%)]	Loss: 0.361777
Task: 0 Train Epoch: 52 [1280/5000 (25%)]	Loss: 0.484608
Task: 0 Train Epoch: 52 [2560/5000 (50%)]	Loss: 0.434501
Task: 0 Train Epoch: 52 [3840/5000 (75%)]	Loss: 0.323629
Task: 0   Test set: Avg. loss: 0.0009, Accuracy: 760/1000(76%)

Task: 0 Train Epoch: 53 [0/5000 (0%)]	Loss: 0.511738
Task: 0 Train Epoch: 53 [1280/5000 (25%)]	Loss: 0.367398
Task: 0 Train Epoch: 53 [2560/5000 (50%)]	Loss: 0.406461
Task: 0 Train Epoch: 53 [3840/5000 (75%)]	Loss: 0.250316
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 787/1000(79%)

Task: 0 Train Epoch: 54 [0/5000 (0%)]	Loss: 0.312394
Task: 0 Train Epoch: 54 [1280/5000 (25%)]	Loss: 0.282847
Task: 0 Train Epoch: 54 [2560/5000 (50%)]	Loss: 0.327790
Task: 0 Train Epoch: 54 [3840/5000 (75%)]	Loss: 0.259269
Task: 0   Test set: Avg. loss: 0.0009, Accuracy: 781/1000(78%)

Task: 0 Train Epoch: 55 [0/5000 (0%)]	Loss: 0.336495
Task: 0 Train Epoch: 55 [1280/5000 (25%)]	Loss: 0.399010
Task: 0 Train Epoch: 55 [2560/5000 (50%)]	Loss: 0.309408
Task: 0 Train Epoch: 55 [3840/5000 (75%)]	Loss: 0.285786
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 795/1000(80%)

Task: 0 Train Epoch: 56 [0/5000 (0%)]	Loss: 0.323000
Task: 0 Train Epoch: 56 [1280/5000 (25%)]	Loss: 0.327336
Task: 0 Train Epoch: 56 [2560/5000 (50%)]	Loss: 0.271424
Task: 0 Train Epoch: 56 [3840/5000 (75%)]	Loss: 0.287026
Task: 0   Test set: Avg. loss: 0.0011, Accuracy: 750/1000(75%)

Task: 0 Train Epoch: 57 [0/5000 (0%)]	Loss: 0.449639
Task: 0 Train Epoch: 57 [1280/5000 (25%)]	Loss: 0.354920
Task: 0 Train Epoch: 57 [2560/5000 (50%)]	Loss: 0.246915
Task: 0 Train Epoch: 57 [3840/5000 (75%)]	Loss: 0.298738
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 776/1000(78%)

Task: 0 Train Epoch: 58 [0/5000 (0%)]	Loss: 0.191825
Task: 0 Train Epoch: 58 [1280/5000 (25%)]	Loss: 0.447636
